"Form type","Form description","Filing date","Reporting date"
"DEF 14A","Other definitive proxy statements","1998-03-16","1998-04-22"
"10-Q","Quarterly report [Sections 13 or 15(d)]","1998-05-11","1998-03-27"
"S-8","Securities to be offered to employees in employee benefit plans","1998-07-31",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","1998-08-10","1998-06-26"
"SC 13G","Statement of Beneficial Ownership by Certain Investors","1998-08-10",""
"10-K405","Annual report [Sections 13 and 15(d), S-K Item 405]","1998-12-23","1998-09-25"
"8-K","Current report","1998-12-23","1998-12-23"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","1999-01-07",""
"PRE 14A","Other preliminary proxy statements","1999-01-26","1999-03-24"
"SC 13G","Statement of Beneficial Ownership by Certain Investors","1999-02-05",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","1999-02-08","1998-12-26"
"DEF 14A","Other definitive proxy statements","1999-02-09","1999-03-24"
"SC 13G","Statement of Beneficial Ownership by Certain Investors","1999-02-16",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","1999-02-25",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","1999-03-10",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","1999-05-11","1999-03-27"
"S-8","Securities to be offered to employees in employee benefit plans","1999-07-09",""
"8-K","Current report","1999-07-16","1999-07-16"
"10-Q","Quarterly report [Sections 13 or 15(d)]","1999-08-06","1999-06-26"
"8-K","Current report","1999-09-07","1999-09-03"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","1999-09-09",""
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","1999-12-22","1999-09-25"
"S-8","Securities to be offered to employees in employee benefit plans","1999-12-23",""
"8-K","Current report","2000-01-24","2000-01-19"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2000-01-27",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2000-02-01","2000-01-01"
"SC 13G","Statement of Beneficial Ownership by Certain Investors","2000-02-04",""
"PRE 14A","Other preliminary proxy statements","2000-02-15","2000-04-20"
"SC 13G","Statement of Beneficial Ownership by Certain Investors","2000-02-15",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2000-02-17",""
"DEF 14A","Other definitive proxy statements","2000-03-06","2000-04-20"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2000-05-11","2000-04-01"
"S-8","Securities to be offered to employees in employee benefit plans","2000-05-15",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2000-07-31","2000-07-01"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2000-12-14","2000-09-30"
"S-8","Securities to be offered to employees in employee benefit plans","2000-12-19",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2001-01-10",""
"SC 13G","Statement of Beneficial Ownership by Certain Investors","2001-02-09",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2001-02-12","2000-12-30"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2001-02-15",""
"DEF 14A","Other definitive proxy statements","2001-03-12","2001-04-19"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2001-05-14","2001-03-31"
"S-8","Securities to be offered to employees in employee benefit plans","2001-05-18",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2001-08-13","2001-06-30"
"S-8","Securities to be offered to employees in employee benefit plans","2001-09-28",""
"10-K405","Annual report [Sections 13 and 15(d), S-K Item 405]","2001-12-21","2001-09-29"
"S-8","Securities to be offered to employees in employee benefit plans","2001-12-24",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2002-01-28",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2002-02-06",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2002-02-11","2001-12-29"
"SC 13G","Statement of Beneficial Ownership by Certain Investors","2002-02-13",""
"NO ACT","No Action Letter","2002-02-20","2002-02-15"
"NO ACT","No Action Letter","2002-02-26","2001-12-21"
"DEF 14A","Other definitive proxy statements","2002-03-21","2002-04-24"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2002-04-10",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2002-05-14","2002-03-30"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2002-07-10",""
"8-K","Current report","2002-08-05","2002-08-01"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2002-08-09","2002-06-29"
"8-K","Current report","2002-08-13","2002-08-08"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2002-12-19","2002-09-28"
"S-8","Securities to be offered to employees in employee benefit plans","2002-12-24",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2003-01-30",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2003-02-10","2002-12-28"
"SC 13G","Statement of Beneficial Ownership by Certain Investors","2003-02-14",""
"NO ACT","No Action Letter","2003-03-03","2002-12-24"
"SC TO-I","Tender offer statement by Issuer","2003-03-20",""
"4","Statement of changes in beneficial ownership of securities","2003-03-21","2003-03-19"
"8-K","Current report","2003-03-21","2003-03-19"
"DEF 14A","Other definitive proxy statements","2003-03-24","2003-04-24"
"8-K","Current report","2003-04-16","2003-04-16"
"SC TO-I/A","Tender offer statement by Issuer - amendment","2003-04-24",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2003-05-13","2003-03-29"
"4","Statement of changes in beneficial ownership of securities","2003-05-27","2003-05-25"
"S-8","Securities to be offered to employees in employee benefit plans","2003-06-24",""
"3","Initial statement of beneficial ownership of securities","2003-07-11","2003-07-07"
"8-K","Current report","2003-07-16","2003-07-16"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2003-08-12","2003-06-28"
"4","Statement of changes in beneficial ownership of securities","2003-09-22","2003-08-05"
"4","Statement of changes in beneficial ownership of securities","2003-09-22","2003-08-05"
"4","Statement of changes in beneficial ownership of securities","2003-09-29","2003-09-26"
"8-K","Current report","2003-10-15","2003-10-15"
"4","Statement of changes in beneficial ownership of securities","2003-10-23","2003-10-22"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2003-12-19","2003-09-27"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2004-01-12",""
"8-K","Current report","2004-01-14","2004-01-14"
"3","Initial statement of beneficial ownership of securities","2004-01-15","2004-01-05"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2004-02-04",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2004-02-10","2003-12-27"
"SC 13G","Statement of Beneficial Ownership by Certain Investors","2004-02-13",""
"DEF 14A","Other definitive proxy statements","2004-03-11","2004-04-22"
"4","Statement of changes in beneficial ownership of securities","2004-03-26","2004-03-24"
"4","Statement of changes in beneficial ownership of securities","2004-03-26","2004-03-24"
"4","Statement of changes in beneficial ownership of securities","2004-03-26","2004-03-24"
"4","Statement of changes in beneficial ownership of securities","2004-03-26","2004-03-24"
"4","Statement of changes in beneficial ownership of securities","2004-03-26","2004-03-24"
"4","Statement of changes in beneficial ownership of securities","2004-03-26","2004-03-24"
"4","Statement of changes in beneficial ownership of securities","2004-03-26","2004-03-24"
"4","Statement of changes in beneficial ownership of securities","2004-03-26","2004-03-24"
"4","Statement of changes in beneficial ownership of securities","2004-03-26","2004-03-24"
"8-K","Current report","2004-04-14","2004-04-14"
"4","Statement of changes in beneficial ownership of securities","2004-04-21","2004-04-20"
"4","Statement of changes in beneficial ownership of securities","2004-04-21","2004-04-20"
"4","Statement of changes in beneficial ownership of securities","2004-04-21","2004-04-19"
"4","Statement of changes in beneficial ownership of securities","2004-04-21","2004-04-19"
"4","Statement of changes in beneficial ownership of securities","2004-04-21","2004-04-19"
"4","Statement of changes in beneficial ownership of securities","2004-04-21","2004-04-19"
"4","Statement of changes in beneficial ownership of securities","2004-04-21","2004-04-20"
"4","Statement of changes in beneficial ownership of securities","2004-04-21","2004-04-20"
"4","Statement of changes in beneficial ownership of securities","2004-04-21","2004-04-20"
"4","Statement of changes in beneficial ownership of securities","2004-04-21","2004-04-19"
"4","Statement of changes in beneficial ownership of securities","2004-04-21","2004-04-19"
"4","Statement of changes in beneficial ownership of securities","2004-04-21","2004-04-19"
"4","Statement of changes in beneficial ownership of securities","2004-04-21","2004-04-19"
"4","Statement of changes in beneficial ownership of securities","2004-04-21","2004-04-19"
"4","Statement of changes in beneficial ownership of securities","2004-04-21","2004-04-19"
"4","Statement of changes in beneficial ownership of securities","2004-04-21","2004-04-19"
"4","Statement of changes in beneficial ownership of securities","2004-04-22","2004-04-21"
"4","Statement of changes in beneficial ownership of securities","2004-04-22","2004-04-20"
"4","Statement of changes in beneficial ownership of securities","2004-04-23","2004-04-22"
"4","Statement of changes in beneficial ownership of securities","2004-04-23","2004-04-22"
"4","Statement of changes in beneficial ownership of securities","2004-04-23","2004-04-22"
"4","Statement of changes in beneficial ownership of securities","2004-04-23","2004-04-22"
"4","Statement of changes in beneficial ownership of securities","2004-04-23","2004-04-22"
"4","Statement of changes in beneficial ownership of securities","2004-04-23","2004-04-21"
"4","Statement of changes in beneficial ownership of securities","2004-04-23","2004-04-21"
"4","Statement of changes in beneficial ownership of securities","2004-04-23","2004-04-21"
"4","Statement of changes in beneficial ownership of securities","2004-04-23","2004-04-22"
"4","Statement of changes in beneficial ownership of securities","2004-04-23","2004-04-22"
"4","Statement of changes in beneficial ownership of securities","2004-04-23","2004-04-22"
"4","Statement of changes in beneficial ownership of securities","2004-04-23","2004-04-21"
"4","Statement of changes in beneficial ownership of securities","2004-04-23","2004-04-21"
"4","Statement of changes in beneficial ownership of securities","2004-04-23","2004-04-21"
"4","Statement of changes in beneficial ownership of securities","2004-04-23","2004-04-21"
"4","Statement of changes in beneficial ownership of securities","2004-04-23","2004-04-21"
"4","Statement of changes in beneficial ownership of securities","2004-04-27","2004-04-23"
"4","Statement of changes in beneficial ownership of securities","2004-04-27","2004-04-23"
"4","Statement of changes in beneficial ownership of securities","2004-04-27","2004-04-23"
"4","Statement of changes in beneficial ownership of securities","2004-04-27","2004-04-23"
"4","Statement of changes in beneficial ownership of securities","2004-04-27","2004-04-23"
"4","Statement of changes in beneficial ownership of securities","2004-04-27","2004-04-23"
"4","Statement of changes in beneficial ownership of securities","2004-05-03","2004-04-29"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2004-05-06","2004-03-27"
"4","Statement of changes in beneficial ownership of securities","2004-05-27","2004-05-25"
"4","Statement of changes in beneficial ownership of securities","2004-05-27","2004-05-25"
"4","Statement of changes in beneficial ownership of securities","2004-05-27","2004-05-25"
"4","Statement of changes in beneficial ownership of securities","2004-06-04","2004-06-02"
"4","Statement of changes in beneficial ownership of securities","2004-06-08","2004-06-07"
"4","Statement of changes in beneficial ownership of securities","2004-06-08","2004-06-07"
"4","Statement of changes in beneficial ownership of securities","2004-06-08","2004-06-07"
"4","Statement of changes in beneficial ownership of securities","2004-06-08","2004-06-04"
"4","Statement of changes in beneficial ownership of securities","2004-06-08","2004-06-04"
"4","Statement of changes in beneficial ownership of securities","2004-06-09","2004-06-07"
"8-K","Current report","2004-07-14","2004-07-14"
"4","Statement of changes in beneficial ownership of securities","2004-07-21","2004-07-19"
"4","Statement of changes in beneficial ownership of securities","2004-07-21","2004-07-19"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2004-08-05","2004-06-26"
"4","Statement of changes in beneficial ownership of securities","2004-08-06","2004-08-05"
"4","Statement of changes in beneficial ownership of securities","2004-08-06","2004-08-05"
"4","Statement of changes in beneficial ownership of securities","2004-08-16","2004-08-14"
"4","Statement of changes in beneficial ownership of securities","2004-08-30","2004-08-26"
"4","Statement of changes in beneficial ownership of securities","2004-09-01","2004-09-01"
"4","Statement of changes in beneficial ownership of securities","2004-09-01","2004-08-30"
"4","Statement of changes in beneficial ownership of securities","2004-09-03","2004-09-02"
"4","Statement of changes in beneficial ownership of securities","2004-10-05","2004-10-01"
"4","Statement of changes in beneficial ownership of securities","2004-10-08","2004-10-06"
"4/A","Statement of changes in beneficial ownership of securities - amendment","2004-10-12","2004-10-01"
"8-K","Current report","2004-10-13","2004-10-13"
"4","Statement of changes in beneficial ownership of securities","2004-10-18","2004-10-15"
"4","Statement of changes in beneficial ownership of securities","2004-10-18","2004-10-14"
"4","Statement of changes in beneficial ownership of securities","2004-10-20","2004-10-18"
"4","Statement of changes in beneficial ownership of securities","2004-10-20","2004-10-18"
"4","Statement of changes in beneficial ownership of securities","2004-10-20","2004-10-18"
"4","Statement of changes in beneficial ownership of securities","2004-10-20","2004-10-18"
"4","Statement of changes in beneficial ownership of securities","2004-10-20","2004-10-18"
"4","Statement of changes in beneficial ownership of securities","2004-10-21","2004-10-19"
"4","Statement of changes in beneficial ownership of securities","2004-10-21","2004-10-19"
"4","Statement of changes in beneficial ownership of securities","2004-10-27","2004-10-25"
"4","Statement of changes in beneficial ownership of securities","2004-11-01","2004-10-28"
"4","Statement of changes in beneficial ownership of securities","2004-11-04","2004-11-02"
"4","Statement of changes in beneficial ownership of securities","2004-11-05","2004-11-03"
"4","Statement of changes in beneficial ownership of securities","2004-11-08","2004-11-04"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2004-12-03","2004-09-25"
"4","Statement of changes in beneficial ownership of securities","2005-01-05","2005-01-03"
"4","Statement of changes in beneficial ownership of securities","2005-01-11","2005-01-07"
"8-K","Current report","2005-01-11","2005-01-11"
"8-K","Current report","2005-01-12","2005-01-12"
"4","Statement of changes in beneficial ownership of securities","2005-01-13","2005-01-11"
"4","Statement of changes in beneficial ownership of securities","2005-01-18","2005-01-13"
"4","Statement of changes in beneficial ownership of securities","2005-01-20","2005-01-18"
"4","Statement of changes in beneficial ownership of securities","2005-01-20","2005-01-18"
"4","Statement of changes in beneficial ownership of securities","2005-01-20","2005-01-18"
"4","Statement of changes in beneficial ownership of securities","2005-01-20","2005-01-18"
"4","Statement of changes in beneficial ownership of securities","2005-01-20","2005-01-18"
"4","Statement of changes in beneficial ownership of securities","2005-01-20","2005-01-18"
"4","Statement of changes in beneficial ownership of securities","2005-01-20","2005-01-18"
"4","Statement of changes in beneficial ownership of securities","2005-01-20","2005-01-18"
"4","Statement of changes in beneficial ownership of securities","2005-01-20","2005-01-18"
"4","Statement of changes in beneficial ownership of securities","2005-01-20","2005-01-18"
"4","Statement of changes in beneficial ownership of securities","2005-01-20","2005-01-18"
"4","Statement of changes in beneficial ownership of securities","2005-01-20","2005-01-18"
"4","Statement of changes in beneficial ownership of securities","2005-01-20","2005-01-18"
"4","Statement of changes in beneficial ownership of securities","2005-01-20","2005-01-18"
"4","Statement of changes in beneficial ownership of securities","2005-01-20","2005-01-18"
"4","Statement of changes in beneficial ownership of securities","2005-01-27","2005-01-25"
"4","Statement of changes in beneficial ownership of securities","2005-01-27","2005-01-25"
"4","Statement of changes in beneficial ownership of securities","2005-01-31","2005-01-27"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2005-02-01","2004-12-25"
"4","Statement of changes in beneficial ownership of securities","2005-02-08","2005-02-04"
"4","Statement of changes in beneficial ownership of securities","2005-02-08","2005-02-04"
"8-K","Current report","2005-02-11","2005-02-11"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2005-02-14",""
"SC 13G","Statement of Beneficial Ownership by Certain Investors","2005-02-14",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2005-02-14",""
"SC 13G","Statement of Beneficial Ownership by Certain Investors","2005-02-14",""
"4","Statement of changes in beneficial ownership of securities","2005-02-18","2005-02-16"
"8-K","Current report","2005-03-02","2005-02-25"
"DEF 14A","Other definitive proxy statements","2005-03-15","2005-04-21"
"4","Statement of changes in beneficial ownership of securities","2005-04-12","2005-04-08"
"8-K","Current report","2005-04-13","2005-04-13"
"8-K","Current report","2005-04-26","2005-04-21"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2005-05-04","2005-03-26"
"S-8","Securities to be offered to employees in employee benefit plans","2005-05-23",""
"4","Statement of changes in beneficial ownership of securities","2005-05-26","2005-05-25"
"8-K","Current report","2005-06-06","2005-06-06"
"4","Statement of changes in beneficial ownership of securities","2005-06-24","2005-06-22"
"4","Statement of changes in beneficial ownership of securities","2005-07-13","2005-07-11"
"8-K","Current report","2005-07-13","2005-07-13"
"4","Statement of changes in beneficial ownership of securities","2005-07-18","2005-07-14"
"4","Statement of changes in beneficial ownership of securities","2005-07-20","2005-07-18"
"4","Statement of changes in beneficial ownership of securities","2005-07-22","2005-07-20"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2005-08-03","2005-06-25"
"4","Statement of changes in beneficial ownership of securities","2005-08-09","2005-08-05"
"4","Statement of changes in beneficial ownership of securities","2005-08-09","2005-08-05"
"8-K","Current report","2005-08-15","2005-08-09"
"4","Statement of changes in beneficial ownership of securities","2005-08-16","2005-08-14"
"4","Statement of changes in beneficial ownership of securities","2005-08-22","2005-08-18"
"4","Statement of changes in beneficial ownership of securities","2005-08-22","2005-08-18"
"4","Statement of changes in beneficial ownership of securities","2005-08-23","2005-08-19"
"4","Statement of changes in beneficial ownership of securities","2005-08-26","2005-08-24"
"8-K","Current report","2005-08-26","2005-08-22"
"4","Statement of changes in beneficial ownership of securities","2005-08-30","2005-08-26"
"4","Statement of changes in beneficial ownership of securities","2005-09-06","2005-09-01"
"4","Statement of changes in beneficial ownership of securities","2005-10-05","2005-10-03"
"8-K","Current report","2005-10-11","2005-10-11"
"8-K","Current report","2005-10-14","2005-10-14"
"4","Statement of changes in beneficial ownership of securities","2005-10-19","2005-10-18"
"4","Statement of changes in beneficial ownership of securities","2005-10-19","2005-10-18"
"4","Statement of changes in beneficial ownership of securities","2005-10-19","2005-10-18"
"4","Statement of changes in beneficial ownership of securities","2005-10-19","2005-10-18"
"4","Statement of changes in beneficial ownership of securities","2005-10-19","2005-10-18"
"4","Statement of changes in beneficial ownership of securities","2005-10-19","2005-10-18"
"4","Statement of changes in beneficial ownership of securities","2005-10-19","2005-10-18"
"4","Statement of changes in beneficial ownership of securities","2005-10-19","2005-10-18"
"4","Statement of changes in beneficial ownership of securities","2005-10-19","2005-10-17"
"4","Statement of changes in beneficial ownership of securities","2005-10-19","2005-10-17"
"4","Statement of changes in beneficial ownership of securities","2005-10-19","2005-10-17"
"4","Statement of changes in beneficial ownership of securities","2005-10-19","2005-10-17"
"4","Statement of changes in beneficial ownership of securities","2005-10-19","2005-10-17"
"4","Statement of changes in beneficial ownership of securities","2005-10-19","2005-10-17"
"4","Statement of changes in beneficial ownership of securities","2005-10-19","2005-10-17"
"4","Statement of changes in beneficial ownership of securities","2005-10-19","2005-10-17"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-21"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-21"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-20"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-20"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-20"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-20"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-20"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-20"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-20"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-20"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-20"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-20"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-19"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-19"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-19"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-19"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-19"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-19"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-19"
"4","Statement of changes in beneficial ownership of securities","2005-10-21","2005-10-19"
"4","Statement of changes in beneficial ownership of securities","2005-10-25","2005-10-24"
"4","Statement of changes in beneficial ownership of securities","2005-10-26","2005-10-24"
"4","Statement of changes in beneficial ownership of securities","2005-10-28","2005-10-26"
"4","Statement of changes in beneficial ownership of securities","2005-11-03","2005-11-01"
"4","Statement of changes in beneficial ownership of securities","2005-11-03","2005-11-01"
"4","Statement of changes in beneficial ownership of securities","2005-11-07","2005-11-03"
"4","Statement of changes in beneficial ownership of securities","2005-11-23","2005-11-22"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2005-12-01","2005-09-24"
"4","Statement of changes in beneficial ownership of securities","2005-12-05","2005-12-01"
"4","Statement of changes in beneficial ownership of securities","2005-12-08","2005-12-06"
"4","Statement of changes in beneficial ownership of securities","2005-12-16","2005-12-14"
"4","Statement of changes in beneficial ownership of securities","2005-12-16","2005-12-14"
"4","Statement of changes in beneficial ownership of securities","2005-12-16","2005-12-14"
"4","Statement of changes in beneficial ownership of securities","2005-12-16","2005-12-14"
"4","Statement of changes in beneficial ownership of securities","2005-12-16","2005-12-14"
"4","Statement of changes in beneficial ownership of securities","2005-12-16","2005-12-14"
"8-K","Current report","2005-12-19","2005-12-14"
"4","Statement of changes in beneficial ownership of securities","2005-12-22","2005-12-21"
"4","Statement of changes in beneficial ownership of securities","2006-01-05","2006-01-04"
"4","Statement of changes in beneficial ownership of securities","2006-01-05","2006-01-04"
"4","Statement of changes in beneficial ownership of securities","2006-01-05","2006-01-04"
"4","Statement of changes in beneficial ownership of securities","2006-01-05","2006-01-04"
"4","Statement of changes in beneficial ownership of securities","2006-01-05","2006-01-03"
"4","Statement of changes in beneficial ownership of securities","2006-01-05","2006-01-03"
"4","Statement of changes in beneficial ownership of securities","2006-01-06","2006-01-04"
"4","Statement of changes in beneficial ownership of securities","2006-01-10","2006-01-06"
"8-K","Current report","2006-01-10","2006-01-10"
"4","Statement of changes in beneficial ownership of securities","2006-01-12","2006-01-10"
"8-K","Current report","2006-01-18","2006-01-18"
"SC 13G","Statement of Beneficial Ownership by Certain Investors","2006-01-26",""
